timestamp,region,score
1772915403.0853622,USA,20
1772915403.0853622,China,19
1772915403.0853622,Latam,18
1772915403.0853622,Mexico,17
1772915403.0853622,Argentina,18
1772915403.0853622,Brasil,17
1772915403.0853622,Sahel,32
1772915403.0853622,Asia_Pacifico,18
1772915403.0853622,Europa_Core,20
1772915403.0853622,North_Korea,35
1772915403.0853622,Australia,19
1772915403.0853622,ARGENTINA,18
1772915403.0853622,LATAM,18
1772915403.0853622,SAHEL,32
1772915403.0853622,ESPANA,18
1772915403.0853622,NORTH_KOREA,35
1772915403.0853622,EUROPA_CORE,20
1772915403.0853622,AUSTRALIA,19
1772915403.0853622,CHINA,19
1772915403.0853622,IRAN_M_ORIENTE,68
1772915403.0853622,MEXICO,17
1772915403.0853622,RUSIA_UCRANIA,62
1772915403.0853622,BRASIL,17
1772915403.0853622,ASIA_PACIFICO,18
1772917203.0750208,Iran_M_Oriente,68
1772917203.0750208,Espana,18
1772917203.0750208,Rusia_Ucrania,62
1772917203.0750208,USA,20
1772917203.0750208,China,19
1772917203.0750208,Latam,18
1772917203.0750208,Mexico,17
1772917203.0750208,Argentina,17
1772917203.0750208,Brasil,17
1772917203.0750208,Sahel,32
1772917203.0750208,Asia_Pacifico,18
1772917203.0750208,Europa_Core,20
1772917203.0750208,North_Korea,35
1772917203.0750208,Australia,19
1772917203.0750208,ARGENTINA,17
1772917203.0750208,LATAM,18
1772917203.0750208,SAHEL,32
1772917203.0750208,ESPANA,18
1772917203.0750208,NORTH_KOREA,35
1772917203.0750208,EUROPA_CORE,20
1772917203.0750208,AUSTRALIA,19
1772917203.0750208,CHINA,19
1772917203.0750208,IRAN_M_ORIENTE,68
1772917203.0750208,MEXICO,17
1772917203.0750208,RUSIA_UCRANIA,62
1772917203.0750208,BRASIL,17
1772917203.0750208,ASIA_PACIFICO,18
1772919003.6330028,Iran_M_Oriente,68
1772919003.6330028,Espana,18
1772919003.6330028,Rusia_Ucrania,62
1772919003.6330028,USA,20
1772919003.6330028,China,19
1772919003.6330028,Latam,18
1772919003.6330028,Mexico,17
1772919003.6330028,Argentina,17
1772919003.6330028,Brasil,17
1772919003.6330028,Sahel,32
1772919003.6330028,Asia_Pacifico,18
1772919003.6330028,Europa_Core,20
1772919003.6330028,North_Korea,35
1772919003.6330028,Australia,19
1772919003.6330028,ARGENTINA,17
1772919003.6330028,LATAM,18
1772919003.6330028,SAHEL,32
1772919003.6330028,ESPANA,18
1772919003.6330028,NORTH_KOREA,35
1772919003.6330028,EUROPA_CORE,20
1772919003.6330028,AUSTRALIA,19
1772919003.6330028,CHINA,19
1772919003.6330028,IRAN_M_ORIENTE,68
1772919003.6330028,MEXICO,17
1772919003.6330028,RUSIA_UCRANIA,62
1772919003.6330028,BRASIL,17
1772919003.6330028,ASIA_PACIFICO,18
1772920802.9214287,Iran_M_Oriente,68
1772920802.9214287,Espana,18
1772920802.9214287,Rusia_Ucrania,62
1772920802.9214287,USA,20
1772920802.9214287,China,19
1772920802.9214287,Latam,18
1772920802.9214287,Mexico,17
1772920802.9214287,Argentina,17
1772920802.9214287,Brasil,17
1772920802.9214287,Sahel,32
1772920802.9214287,Asia_Pacifico,18
1772920802.9214287,Europa_Core,20
1772920802.9214287,North_Korea,35
1772920802.9214287,Australia,19
1772920802.9214287,ARGENTINA,17
1772920802.9214287,LATAM,18
1772920802.9214287,SAHEL,32
1772920802.9214287,ESPANA,18
1772920802.9214287,NORTH_KOREA,35
1772920802.9214287,EUROPA_CORE,20
1772920802.9214287,AUSTRALIA,19
1772920802.9214287,CHINA,19
1772920802.9214287,IRAN_M_ORIENTE,68
1772920802.9214287,MEXICO,17
1772920802.9214287,RUSIA_UCRANIA,62
1772920802.9214287,BRASIL,17
1772920802.9214287,ASIA_PACIFICO,18
1772922603.46431,Iran_M_Oriente,68
1772922603.46431,Espana,18
1772922603.46431,Rusia_Ucrania,62
1772922603.46431,USA,20
1772922603.46431,China,19
1772922603.46431,Latam,18
1772922603.46431,Mexico,17
1772922603.46431,Argentina,17
1772922603.46431,Brasil,17
1772922603.46431,Sahel,32
1772922603.46431,Asia_Pacifico,18
1772922603.46431,Europa_Core,20
1772922603.46431,North_Korea,35
1772922603.46431,Australia,18
1772922603.46431,ARGENTINA,17
1772922603.46431,LATAM,18
1772922603.46431,SAHEL,32
1772922603.46431,ESPANA,18
1772922603.46431,NORTH_KOREA,35
1772922603.46431,EUROPA_CORE,20
1772922603.46431,AUSTRALIA,18
1772922603.46431,CHINA,19
1772922603.46431,IRAN_M_ORIENTE,68
1772922603.46431,MEXICO,17
1772922603.46431,RUSIA_UCRANIA,62
1772922603.46431,BRASIL,17
1772922603.46431,ASIA_PACIFICO,18
1772924404.3428636,Iran_M_Oriente,68
1772924404.3428636,Espana,18
1772924404.3428636,Rusia_Ucrania,62
1772924404.3428636,USA,19
1772924404.3428636,China,19
1772924404.3428636,Latam,18
1772924404.3428636,Mexico,17
1772924404.3428636,Argentina,17
1772924404.3428636,Brasil,17
1772924404.3428636,Sahel,32
1772924404.3428636,Asia_Pacifico,18
1772924404.3428636,Europa_Core,20
1772924404.3428636,North_Korea,35
1772924404.3428636,Australia,18
1772924404.3428636,ARGENTINA,17
1772924404.3428636,LATAM,18
1772924404.3428636,SAHEL,32
1772924404.3428636,ESPANA,18
