timestamp,region,score
1772328616.2444794,ASIA_PACIFICO,20
1772330411.2714713,ARGENTINA,20
1772330410.2791803,LATAM,20
1772330413.3324041,SAHEL,36
1772330404.3129976,ESPANA,20
1772330421.5253255,NORTH_KOREA,48
1772330415.173303,EUROPA_CORE,20
1772330425.2026694,AUSTRALIA,20
1772330409.787015,CHINA,20
1772330404.1002173,IRAN_M_ORIENTE,75
1772330410.5671513,MEXICO,21
1772330406.6992753,RUSIA_UCRANIA,80
1772330406.8827512,USA,26
1772330412.5146003,BRASIL,20
1772330414.3012812,ASIA_PACIFICO,20
1772332214.9325652,ARGENTINA,20
1772332213.943623,LATAM,20
1772332216.897885,SAHEL,36
1772332206.3153508,ESPANA,20
1772332228.2364428,NORTH_KOREA,48
1772332218.9379883,EUROPA_CORE,20
1772332231.7463553,AUSTRALIA,20
1772332213.3688014,CHINA,20
1772332206.0009665,IRAN_M_ORIENTE,75
1772332214.238745,MEXICO,21
1772332209.4682326,RUSIA_UCRANIA,80
1772332209.650901,USA,24
1772332215.9983628,BRASIL,20
1772332217.9218326,ASIA_PACIFICO,20
1772334010.7179642,ARGENTINA,20
1772334009.336886,LATAM,20
1772334013.0008879,SAHEL,36
1772334003.9701264,ESPANA,20
1772334021.0499525,NORTH_KOREA,48
1772334015.0290763,EUROPA_CORE,20
1772334024.8581276,AUSTRALIA,20
1772334008.8152394,CHINA,20
1772334003.7614706,IRAN_M_ORIENTE,75
1772334010.0075364,MEXICO,21
1772334006.2125762,RUSIA_UCRANIA,80
1772334006.3315141,USA,22
1772334011.86914,BRASIL,20
1772334014.0241506,ASIA_PACIFICO,20
1772335811.784348,ARGENTINA,20
1772335810.8227699,LATAM,20
1772335814.7929547,SAHEL,36
1772335804.6176257,ESPANA,20
1772335823.6106064,NORTH_KOREA,48
1772335816.7431293,EUROPA_CORE,20
1772335826.5367491,AUSTRALIA,20
1772335810.2925756,CHINA,20
1772335804.3815758,IRAN_M_ORIENTE,75
1772335811.1082132,MEXICO,21
1772335807.1883247,RUSIA_UCRANIA,80
1772335807.358437,USA,21
1772335813.800381,BRASIL,20
1772335815.8354638,ASIA_PACIFICO,20
1772337611.4261467,ARGENTINA,20
1772337610.644268,LATAM,20
1772337613.512213,SAHEL,36
1772337604.5745811,ESPANA,20
1772337622.146285,NORTH_KOREA,48
1772337615.4741387,EUROPA_CORE,20
1772337625.7879128,AUSTRALIA,20
1772337610.1956148,CHINA,20
1772337604.390223,IRAN_M_ORIENTE,75
1772337610.7521243,MEXICO,21
1772337607.049862,RUSIA_UCRANIA,80
1772337607.1917515,USA,20
1772337612.6201818,BRASIL,20
1772337614.5619426,ASIA_PACIFICO,20
1772339415.9070776,ARGENTINA,20
1772339415.0078669,LATAM,20
1772339418.0322106,SAHEL,36
1772339405.8498678,ESPANA,20
1772339426.2769396,NORTH_KOREA,48
1772339420.1825309,EUROPA_CORE,20
1772339429.5336618,AUSTRALIA,20
1772339414.4711645,CHINA,20
1772339405.6183908,IRAN_M_ORIENTE,75
1772339415.2805479,MEXICO,21
1772339410.49639,RUSIA_UCRANIA,80
1772339410.64053,USA,20
1772339417.1328583,BRASIL,20
1772339419.0272462,ASIA_PACIFICO,20
1772341213.331273,ARGENTINA,20
1772341212.4476407,LATAM,20
1772341215.3033693,SAHEL,36
1772341204.6668167,ESPANA,20
1772341224.3001387,NORTH_KOREA,48
1772341217.1361399,EUROPA_CORE,20
1772341227.571174,AUSTRALIA,20
1772341212.0181155,CHINA,20
1772341204.4537761,IRAN_M_ORIENTE,75
1772341212.703742,MEXICO,21
1772341207.4948425,RUSIA_UCRANIA,80
1772341207.6469998,USA,20
1772341214.551253,BRASIL,20
1772341216.3158913,ASIA_PACIFICO,20
1772343013.1753206,ARGENTINA,20
1772343012.3848834,LATAM,20
1772343016.2483947,SAHEL,36
1772343005.613371,ESPANA,20
1772343025.1098342,NORTH_KOREA,48
1772343018.335254,EUROPA_CORE,20
1772343029.3093944,AUSTRALIA,20
1772343011.8930235,CHINA,20
1772343005.3668764,IRAN_M_ORIENTE,75
1772343012.5234113,MEXICO,21
1772343008.1718578,RUSIA_UCRANIA,80
1772343008.316875,USA,20
1772343015.2021906,BRASIL,20
1772343017.3134377,ASIA_PACIFICO,20
1772344811.817432,ARGENTINA,20
1772344811.017198,LATAM,20
1772344813.577691,SAHEL,36
1772344804.33009,ESPANA,20
1772344821.3787303,NORTH_KOREA,48
1772344815.5659366,EUROPA_CORE,20
1772344824.3776805,AUSTRALIA,20
1772344810.5831687,CHINA,20
1772344804.1353266,IRAN_M_ORIENTE,75
